buyer_id,name,buyer_type,district,verified_flag,payment_reliability_score,avg_payment_days,interested_crop,typical_need_tonnes,min_grade,phone
1,Shree Ganesh Trading Co.,Wholesaler,Pune,True,91,7,Onion,12.0,B,9822011111
2,Mahagrapes Exports LLP,Exporter,Nashik,True,94,12,Grapes,25.0,A,9822022222
3,Balaji Kale Agro Industries,Institutional Buyer,Nashik,True,79,24,Banana,10.5,B,
4,Siddhivinayak Rathod Exports LLP,Exporter,Satara,True,93,14,Maize,37.4,B,
5,Tuljabhavani Khade Traders,Retailer,Sangli,True,70,21,Pomegranate,1.6,A,
6,Balaji Kadam Trading Co.,Wholesaler,Nagpur,True,93,16,Soybean,13.2,C,
7,Samarth Khade Agro Processing Pvt Ltd,Processor,Nashik,True,84,16,Maize,42.9,A,
8,Balaji Kshirsagar Agro Industries,Institutional Buyer,Nashik,True,57,18,Grapes,14.0,B,
9,Vighnaharta Bagul Exports LLP,Exporter,Jalna,True,96,2,Tomato,29.5,C,
10,Mauli Kshirsagar Traders,Retailer,Solapur,True,82,20,Cotton,0.8,B,
11,M/s Rathod Trading Co.,Wholesaler,Nanded,True,97,14,Soybean,8.5,B,
12,Mauli Kale Agro Processing Pvt Ltd,Processor,Jalna,True,84,12,Grapes,58.3,B,
13,Shree Sable Agro Industries,Institutional Buyer,Jalgaon,True,91,5,Tomato,23.6,A,
14,Jai Deore Exports LLP,Exporter,Solapur,False,91,10,Cotton,24.0,C,
15,Khandoba Sable Traders,Retailer,Latur,True,81,22,Cotton,1.9,C,
16,Ganesh Kale Trading Co.,Wholesaler,Solapur,True,77,24,Gram (Chana),6.0,C,
17,Sai Nikam Agro Processing Pvt Ltd,Processor,Nagpur,True,97,3,Cotton,28.6,B,
18,Balaji Patil Agro Industries,Institutional Buyer,Solapur,True,93,18,Banana,23.2,C,
19,Samarth Bagul Exports LLP,Exporter,Jalgaon,True,84,22,Cotton,37.2,B,
20,Mauli Bhoir Traders,Retailer,Pune,True,95,5,Onion,1.2,A,
21,Sai Sharma Trading Co.,Wholesaler,Nagpur,True,95,3,Cotton,12.8,B,
22,Sai Kale Agro Processing Pvt Ltd,Processor,Akola,True,90,13,Grapes,11.6,C,
23,Aditya Khairnar Agro Industries,Institutional Buyer,Jalgaon,True,79,14,Sugarcane,8.9,A,
24,Jai Kale Exports LLP,Exporter,Pune,True,94,12,Onion,13.4,B,
25,Ganesh Nikam Traders,Retailer,Kolhapur,True,91,30,Onion,1.2,A,
26,Ganesh Bagul Trading Co.,Wholesaler,Dhule,True,97,22,Pomegranate,3.8,C,
27,Aditya Bhoir Agro Processing Pvt Ltd,Processor,Sangli,True,98,14,Sugarcane,41.9,B,
28,Aditya Bhosale Agro Industries,Institutional Buyer,Kolhapur,False,85,26,Soybean,14.6,B,
29,Khandoba Ingle Exports LLP,Exporter,Ahmednagar,True,88,4,Soybean,36.2,C,
30,Khandoba Dhage Traders,Retailer,Kolhapur,True,86,13,Banana,2.0,A,
31,Samarth Chavan Trading Co.,Wholesaler,Akola,True,91,2,Pomegranate,5.6,B,
32,Ganesh Jadhav Agro Processing Pvt Ltd,Processor,Jalgaon,True,84,26,Maize,38.1,B,
33,Samarth Bagul Agro Industries,Institutional Buyer,Jalna,True,80,13,Wheat,17.4,C,
34,Samarth Chaudhari Exports LLP,Exporter,Aurangabad,True,84,5,Tomato,45.6,C,
35,Samarth Salunkhe Traders,Retailer,Pune,True,75,20,Potato,1.3,A,
36,Vighnaharta Kadam Trading Co.,Wholesaler,Jalgaon,True,71,26,Soybean,10.1,A,
37,Balaji Thorat Agro Processing Pvt Ltd,Processor,Nagpur,True,92,14,Sugarcane,33.9,B,
38,Khandoba Wagh Agro Industries,Institutional Buyer,Akola,True,86,13,Gram (Chana),6.8,B,
