fpo_id,farmer_id
1,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,20
22,21
23,22
24,23
25,24
26,25
27,26
28,27
29,28
30,29
31,30
32,31
33,32
34,33
36,35
37,36
38,37
39,38
40,39
41,40
42,41
43,42
44,43
45,44
46,45
47,46
48,47
49,48
50,49
51,50
52,51
53,52
54,53
55,54
56,55
57,56
58,57
59,58
60,59
61,60
62,61
63,62
64,63
66,65
67,66
68,67
69,68
70,69
72,71
73,72
75,74
76,75
77,76
79,78
80,79
81,80
82,81
83,82
84,83
85,84
86,85
87,86
88,87
89,88
90,89
91,90
92,91
93,92
94,93
95,94
96,95
97,96
98,97
99,98
100,99
101,100
102,101
104,103
105,104
106,105
107,106
108,107
109,108
110,109
112,111
113,112
114,113
116,115
117,116
118,117
119,118
120,119
121,120
122,121
124,123
125,124
126,125
127,126
128,127
129,128
130,129
131,130
133,132
134,133
135,134
136,135
137,136
138,137
139,138
140,139
141,140
142,141
143,142
144,143
145,144
146,145
147,146
148,147
149,148
150,149
1,150
2,151
3,152
4,153
5,154
6,155
7,156
8,157
9,158
10,159
11,160
12,161
13,162
14,163
15,164
16,165
18,167
19,168
20,169
21,170
22,171
23,172
24,173
26,175
27,176
28,177
29,178
30,179
31,180
33,182
34,183
35,184
36,185
37,186
38,187
39,188
40,189
41,190
42,191
43,192
44,193
45,194
46,195
47,196
48,197
50,199
51,200
52,201
53,202
55,204
56,205
58,207
59,208
60,209
61,210
62,211
63,212
64,213
66,215
67,216
68,217
69,218
70,219
71,220
72,221
73,222
74,223
75,224
76,225
78,227
79,228
80,229
81,230
82,231
84,233
85,234
86,235
88,237
90,239
91,240
92,241
93,242
95,244
96,245
97,246
98,247
99,248
100,249
101,250
102,251
104,253
105,254
107,256
108,257
109,258
110,259
112,261
114,263
116,265
117,266
118,267
119,268
120,269
121,270
122,271
123,272
124,273
125,274
126,275
127,276
128,277
129,278
130,279
132,281
133,282
135,284
137,286
138,287
139,288
140,289
141,290
142,291
143,292
144,293
146,295
147,296
148,297
149,298
150,299
1,300
2,301
3,302
4,303
5,304
6,305
7,306
8,307
9,308
10,309
11,310
12,311
13,312
14,313
15,314
16,315
18,317
19,318
20,319
22,321
23,322
24,323
25,324
26,325
28,327
29,328
30,329
31,330
32,331
33,332
34,333
35,334
36,335
37,336
38,337
39,338
40,339
42,341
43,342
44,343
46,345
49,348
50,349
52,351
53,352
54,353
55,354
56,355
57,356
58,357
59,358
60,359
62,361
63,362
64,363
65,364
66,365
67,366
68,367
71,370
72,371
74,373
75,374
76,375
77,376
78,377
79,378
80,379
81,380
82,381
83,382
84,383
85,384
86,385
87,386
88,387
89,388
90,389
91,390
92,391
93,392
94,393
95,394
96,395
97,396
98,397
99,398
101,400
102,401
103,402
104,403
105,404
106,405
107,406
108,407
109,408
111,410
112,411
113,412
115,414
116,415
117,416
118,417
120,419
121,420
122,421
123,422
124,423
125,424
126,425
127,426
128,427
129,428
130,429
131,430
132,431
134,433
135,434
136,435
137,436
138,437
139,438
140,439
141,440
142,441
143,442
145,444
146,445
147,446
148,447
149,448
150,449
3,452
4,453
6,455
7,456
9,458
10,459
11,460
12,461
13,462
14,463
16,465
17,466
18,467
19,468
20,469
21,470
22,471
23,472
24,473
25,474
26,475
27,476
28,477
29,478
30,479
31,480
32,481
33,482
34,483
35,484
36,485
40,489
41,490
43,492
44,493
45,494
46,495
47,496
48,497
49,498
51,500
