fpo_id,name,district,member_count,contact
1,Nashik Drushkava Kanda Utpadak FPO Ltd,Nashik,320,9822033333
2,Kolhapur Shetkari FPO Ltd,Kolhapur,332,9873367985
3,Sangli Bagayat FPO Ltd,Sangli,108,9840819036
4,Ahmednagar Utpadak FPO Ltd,Ahmednagar,212,9871806358
5,Kolhapur Bagayat FPO Ltd,Kolhapur,194,9865748073
6,Nanded Kisan FPO Ltd,Nanded,337,9886642635
7,Ahmednagar Kisan FPO Ltd,Ahmednagar,374,9842088032
8,Nashik Utpadak FPO Ltd,Nashik,126,9871749871
9,Solapur Utpadak FPO Ltd,Solapur,233,9880130721
10,Amravati Krishi FPO Ltd,Amravati,392,9816493585
11,Satara Shetkari FPO Ltd,Satara,110,9866397195
12,Satara Krishi FPO Ltd,Satara,359,9848677374
13,Nagpur Shetkari FPO Ltd,Nagpur,73,9839365126
14,Kolhapur Utpadak FPO Ltd,Kolhapur,248,9865286287
15,Latur Kisan FPO Ltd,Latur,51,9862437597
16,Dhule Krishi FPO Ltd,Dhule,148,9876465058
17,Latur Bagayat FPO Ltd,Latur,182,9854897668
18,Nanded Krishi FPO Ltd,Nanded,373,9843370057
19,Aurangabad Utpadak FPO Ltd,Aurangabad,43,9882336968
20,Solapur Kisan FPO Ltd,Solapur,255,9855368011
21,Nanded Kisan FPO Ltd,Nanded,76,9872689272
22,Aurangabad Krishi FPO Ltd,Aurangabad,228,9815726914
23,Kolhapur Bagayat FPO Ltd,Kolhapur,198,9836027204
24,Nagpur Kisan FPO Ltd,Nagpur,397,9840924384
25,Nanded Utpadak FPO Ltd,Nanded,345,9838675656
26,Akola Krishi FPO Ltd,Akola,97,9858949478
27,Latur Krishi FPO Ltd,Latur,248,9871437117
28,Amravati Shetkari FPO Ltd,Amravati,348,9847101270
29,Amravati Bagayat FPO Ltd,Amravati,48,9835874018
30,Amravati Utpadak FPO Ltd,Amravati,237,9865756237
31,Nashik Kisan FPO Ltd,Nashik,197,9893292718
32,Nanded Utpadak FPO Ltd,Nanded,31,9893583155
33,Kolhapur Utpadak FPO Ltd,Kolhapur,121,9889637768
34,Latur Shetkari FPO Ltd,Latur,369,9871181061
35,Jalgaon Utpadak FPO Ltd,Jalgaon,326,9893861883
36,Solapur Bagayat FPO Ltd,Solapur,376,9856184730
37,Aurangabad Utpadak FPO Ltd,Aurangabad,186,9866340051
38,Jalna Bagayat FPO Ltd,Jalna,187,9815200430
39,Amravati Bagayat FPO Ltd,Amravati,104,9896066993
40,Jalna Krishi FPO Ltd,Jalna,206,9889153587
41,Satara Shetkari FPO Ltd,Satara,318,9823057606
42,Dhule Kisan FPO Ltd,Dhule,335,9884753500
43,Latur Kisan FPO Ltd,Latur,379,9811350389
44,Amravati Kisan FPO Ltd,Amravati,54,9832040161
45,Pune Krishi FPO Ltd,Pune,348,9880787198
46,Nagpur Utpadak FPO Ltd,Nagpur,264,9892518608
47,Pune Bagayat FPO Ltd,Pune,35,9812323004
48,Nagpur Utpadak FPO Ltd,Nagpur,349,9872133038
49,Kolhapur Bagayat FPO Ltd,Kolhapur,373,9871532740
50,Dhule Krishi FPO Ltd,Dhule,80,9833996548
51,Jalgaon Bagayat FPO Ltd,Jalgaon,114,9830818964
52,Jalgaon Krishi FPO Ltd,Jalgaon,221,9835067290
53,Sangli Utpadak FPO Ltd,Sangli,362,9875668966
54,Amravati Kisan FPO Ltd,Amravati,124,9860769088
55,Jalgaon Kisan FPO Ltd,Jalgaon,313,9821758651
56,Akola Utpadak FPO Ltd,Akola,170,9860906574
57,Akola Utpadak FPO Ltd,Akola,131,9821334215
58,Pune Krishi FPO Ltd,Pune,234,9829720981
59,Kolhapur Krishi FPO Ltd,Kolhapur,340,9820065430
60,Nanded Kisan FPO Ltd,Nanded,104,9866767757
61,Nagpur Shetkari FPO Ltd,Nagpur,47,9860682549
62,Jalna Krishi FPO Ltd,Jalna,197,9853261572
63,Amravati Utpadak FPO Ltd,Amravati,138,9889266822
64,Satara Utpadak FPO Ltd,Satara,310,9865220832
65,Kolhapur Bagayat FPO Ltd,Kolhapur,263,9811799276
66,Jalna Shetkari FPO Ltd,Jalna,309,9863909997
67,Sangli Shetkari FPO Ltd,Sangli,97,9823918202
68,Nagpur Kisan FPO Ltd,Nagpur,38,9838440793
69,Ahmednagar Utpadak FPO Ltd,Ahmednagar,158,9866814804
70,Aurangabad Krishi FPO Ltd,Aurangabad,390,9890609302
71,Kolhapur Bagayat FPO Ltd,Kolhapur,165,9843639750
72,Latur Shetkari FPO Ltd,Latur,58,9896350767
73,Ahmednagar Shetkari FPO Ltd,Ahmednagar,237,9872239795
74,Jalgaon Shetkari FPO Ltd,Jalgaon,359,9895792954
75,Pune Krishi FPO Ltd,Pune,184,9879745492
76,Ahmednagar Kisan FPO Ltd,Ahmednagar,230,9872222567
77,Nagpur Kisan FPO Ltd,Nagpur,46,9886055769
78,Jalgaon Shetkari FPO Ltd,Jalgaon,111,9816045269
79,Aurangabad Krishi FPO Ltd,Aurangabad,92,9865560712
80,Jalgaon Shetkari FPO Ltd,Jalgaon,356,9816092784
81,Amravati Kisan FPO Ltd,Amravati,315,9830298563
82,Nagpur Bagayat FPO Ltd,Nagpur,78,9816998437
83,Satara Bagayat FPO Ltd,Satara,31,9883099337
84,Nagpur Krishi FPO Ltd,Nagpur,392,9830479661
85,Nagpur Krishi FPO Ltd,Nagpur,170,9820555932
86,Aurangabad Shetkari FPO Ltd,Aurangabad,39,9871700217
87,Kolhapur Bagayat FPO Ltd,Kolhapur,175,9884001657
88,Sangli Kisan FPO Ltd,Sangli,271,9858790389
89,Nashik Utpadak FPO Ltd,Nashik,43,9869442797
90,Aurangabad Utpadak FPO Ltd,Aurangabad,60,9875909098
91,Ahmednagar Kisan FPO Ltd,Ahmednagar,104,9892802733
92,Jalna Kisan FPO Ltd,Jalna,354,9891865939
93,Nanded Shetkari FPO Ltd,Nanded,53,9871316930
94,Satara Kisan FPO Ltd,Satara,72,9879074728
95,Aurangabad Krishi FPO Ltd,Aurangabad,67,9869678331
96,Solapur Bagayat FPO Ltd,Solapur,98,9848006198
97,Satara Krishi FPO Ltd,Satara,305,9876617737
98,Aurangabad Kisan FPO Ltd,Aurangabad,324,9827465451
99,Solapur Bagayat FPO Ltd,Solapur,347,9880757393
100,Jalgaon Shetkari FPO Ltd,Jalgaon,204,9841698656
101,Sangli Krishi FPO Ltd,Sangli,274,9831170415
102,Solapur Krishi FPO Ltd,Solapur,211,9899176544
103,Satara Shetkari FPO Ltd,Satara,349,9881762199
104,Ahmednagar Shetkari FPO Ltd,Ahmednagar,354,9844993414
105,Dhule Utpadak FPO Ltd,Dhule,347,9880755062
