from_mandi_id,to_mandi_id,distance_km,cost_per_qtl_per_km,fixed_loading_cost
1,1,0.0,0.24,26
1,2,48.9,0.15,22
1,3,58.1,0.17,39
1,4,17.6,0.19,35
1,5,22.6,0.21,31
1,6,37.3,0.23,27
1,7,53.1,0.25,23
1,8,53.0,0.16,40
1,9,21.8,0.18,36
1,10,110.0,0.2,32
1,11,190.8,0.22,28
1,12,322.8,0.24,24
1,13,125.1,0.15,20
1,14,275.4,0.17,37
1,15,367.3,0.19,33
1,16,382.8,0.21,29
1,17,508.1,0.23,25
1,18,166.3,0.25,21
1,19,304.5,0.16,38
1,20,333.3,0.18,34
1,21,286.5,0.2,30
1,22,370.5,0.22,26
1,23,96.5,0.24,22
1,24,160.7,0.15,39
1,25,223.5,0.17,35
2,1,48.9,0.2,36
2,2,0.0,0.22,32
2,3,9.9,0.24,28
2,4,64.8,0.15,24
2,5,69.4,0.17,20
2,6,52.5,0.19,37
2,7,58.8,0.21,33
2,8,95.5,0.23,29
2,9,50.7,0.25,25
2,10,154.8,0.16,21
2,11,173.9,0.18,38
2,12,341.6,0.2,34
2,13,140.7,0.22,30
2,14,263.3,0.24,26
2,15,363.5,0.15,22
2,16,374.1,0.17,39
2,17,556.9,0.19,35
2,18,211.8,0.21,31
2,19,336.9,0.23,27
2,20,375.8,0.25,23
2,21,335.3,0.16,40
2,22,419.3,0.18,36
2,23,134.1,0.2,32
2,24,206.2,0.22,28
2,25,223.9,0.24,24
3,1,58.1,0.16,25
3,2,9.9,0.18,21
3,3,0.0,0.2,38
3,4,74.4,0.22,34
3,5,79.1,0.24,30
3,6,61.9,0.15,26
3,7,67.2,0.17,22
3,8,102.8,0.19,39
3,9,60.6,0.21,35
3,10,162.2,0.23,31
3,11,168.3,0.25,27
3,12,342.3,0.16,23
3,13,142.0,0.18,40
3,14,258.1,0.2,36
3,15,359.6,0.22,32
3,16,369.2,0.24,28
3,17,566.1,0.15,24
3,18,219.3,0.17,20
3,19,340.7,0.19,37
3,20,382.1,0.21,33
3,21,344.5,0.23,29
3,22,428.6,0.25,25
3,23,143.9,0.16,21
3,24,216.1,0.18,38
3,25,221.3,0.2,34
4,1,17.6,0.23,35
4,2,64.8,0.25,31
4,3,74.4,0.16,27
4,4,0.0,0.18,23
4,5,5.0,0.2,40
4,6,37.5,0.22,36
4,7,53.1,0.24,32
4,8,49.9,0.15,28
4,9,22.5,0.17,24
4,10,101.6,0.19,20
4,11,205.7,0.21,37
4,12,326.5,0.23,33
4,13,132.5,0.25,29
4,14,288.8,0.16,25
4,15,378.3,0.18,21
4,16,395.1,0.2,38
4,17,492.7,0.22,34
4,18,156.4,0.24,30
4,19,302.3,0.15,26
4,20,325.2,0.17,22
4,21,271.2,0.19,39
4,22,354.9,0.21,35
4,23,80.0,0.23,31
4,24,143.1,0.25,27
4,25,234.0,0.16,23
5,1,22.6,0.19,24
5,2,69.4,0.21,20
5,3,79.1,0.23,37
5,4,5.0,0.25,33
5,5,0.0,0.16,29
5,6,38.9,0.18,25
5,7,54.0,0.2,21
5,8,50.3,0.22,38
5,9,24.9,0.24,34
5,10,99.8,0.15,30
5,11,210.1,0.17,26
5,12,327.8,0.19,22
5,13,135.0,0.21,39
5,14,292.8,0.23,35
5,15,381.6,0.25,31
5,16,398.7,0.16,27
